"ano","codigo_municipio","nome_municipio","cor_raca_branca","cor_raca_preta","cor_raca_amarela","cor_raca_parda","cor_raca_indigena","cor_ignorada","sexo_masculino","sexo_feminino","sexo_ignorado","sem_escolaridade","tempo_de_estudo_1_a_3_anos","tempo_de_estudo_4_a_7_anos","tempo_de_estudo_8_a_11_anos","tempo_de_estudo_mais_de_12_anos","tempo_de_estudo_ignorado","estado_civil_solteiro","estado_civil_casado","estado_civil_viuvo","estado_civil_divorciado","estado_civil_outro","estado_civil_ignorado","idade_menor_1_ano","idade_1_a_4_anos","idade_5_a_9_anos","idade_10_a_14_anos","idade_15_a_19_anos","idade_20_a_29_anos","idade_30_a_39_anos","idade_40_a_49_anos","idade_50_a_59_anos","idade_60_a_69_anos","idade_70_a_79_anos","idade_mais_de_80_anos","idade_ignorada","cid_doencas_infecciosas_e_parasitarias","cid_neoplasias","cid_doencas_do_sangue","cid_doencas_endocrinas","cid_transtornos_mentais_e_comportamentais","cid_sistema_nervoso","cid_doencas_dos_olhos","cid_doencas_dos_ouvidos","cid_sistema_circulatorio","cid_sistema_respiratorio","cid_sistema_digestivo","cid_doencas_de_pele","cid_doencas_do_sistema_osteomuscular_e_do_tecido_conjuntivo","cid_doencas_do_aparelho_geniturinario","cid_gravidez_parto_e_puerperio","cid_afeccoes_originadas_no_periodo_perinatal","cid_malformacoes_congenitas_e_anomalias_cromossomicas","cid_sintomas_e_sinais_anormais","cid_causas_externas"
"2016","110001",ALTA FLORESTA D'OESTE,24,7,0,31,3,4,42,27,0,21,14,5,5,0,24,11,22,13,3,3,17,1,0,0,0,1,4,4,4,6,9,12,27,1,3,8,0,2,0,0,0,0,21,9,3,0,0,1,0,1,0,10,11
"2016","110002",ARIQUEMES,212,67,3,205,2,1,329,161,0,50,71,86,31,11,241,97,169,75,23,26,100,9,0,1,3,13,32,40,48,57,97,94,96,0,11,53,0,45,2,8,0,0,150,59,25,2,0,13,2,7,1,6,106
"2016","110003",CABIXI,9,1,0,3,0,0,9,4,0,3,3,3,3,1,0,3,10,0,0,0,0,0,0,0,0,0,1,1,4,2,1,2,2,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,4
"2016","110004",CACOAL,545,81,2,566,7,0,699,502,0,352,3,488,216,24,118,183,510,240,74,48,146,15,7,5,3,24,42,65,99,154,237,288,259,3,29,266,1,104,9,27,0,1,325,123,66,0,3,31,1,9,9,1,196
"2016","110005",CEREJEIRAS,33,10,0,28,1,1,48,25,0,22,19,21,4,1,6,17,30,16,4,3,3,0,0,0,1,0,2,8,6,10,10,15,21,0,1,12,2,4,0,3,0,0,22,2,2,0,0,0,0,0,1,9,15
"2016","110006",COLORADO DO OESTE,17,7,1,28,1,0,33,21,0,20,8,10,5,1,10,10,18,16,4,2,4,0,0,0,0,0,4,1,8,8,6,11,16,0,4,7,1,7,0,2,0,0,13,6,1,0,0,1,0,0,0,7,5
"2016","110007",CORUMBIARA,5,1,0,7,1,0,10,4,0,7,3,4,0,0,0,5,5,3,0,0,1,0,0,0,0,0,2,1,0,2,4,2,3,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,4,3
"2016","110008",COSTA MARQUES,4,4,0,13,1,1,19,4,0,6,2,5,0,0,10,11,2,2,2,1,5,1,0,0,1,0,3,2,3,1,5,4,3,0,1,2,0,1,0,0,0,0,7,2,0,0,0,0,0,1,0,4,5
"2016","110009",ESPIGAO D'OESTE,39,14,0,31,2,0,53,33,0,31,14,25,6,3,7,13,35,13,10,5,10,2,0,1,0,2,4,6,11,6,15,16,22,1,0,8,0,6,1,1,0,0,23,14,1,0,0,2,0,0,0,14,16
"2016","110010",GUAJARA-MIRIM,16,3,0,93,17,0,79,50,0,37,36,25,12,4,15,70,26,18,2,3,10,4,5,0,1,3,6,5,9,18,15,27,36,0,7,16,0,16,0,4,0,0,29,15,2,0,0,2,0,2,2,15,19
