"ano","codigo_municipio","nome_municipio","cor_raca_branca","cor_raca_preta","cor_raca_amarela","cor_raca_parda","cor_raca_indigena","cor_raca_ignorada","tipo_gravidez_unica","tipo_gravidez_dupla","tipo_gravidez_tripla_ou_mais","tipo_gravidez__ignorada","gestacao_menos_de_22_semanas","gestacao_22_a_27_semanas","gestacao_28_a_31_semanas","gestacao_32_a_36_semanas","gestacao_37_a_41_semanas","gestacao_42_semanas_ou_mais","gestacao_ignorada","peso_menos_500g","peso_500_a_999g","peso_1000_a_1499g","peso_1500_a_2499g","peso_2500_a_2999g","peso_3000_a_3999g","peso_4000g_ou_mais","peso_ignorado","anomalia_presente","anomalia_nao_presente","anomalia_ignorada","sexo_masculino","sexo_feminino","sexo_ignorado","tipo_de_parto_vaginal","tipo_de_parto_cesariano","tipo_de_parto_ignorado","idade_mae_menos_10_anos","idade_mae_10_a_14_anos","idade_mae_15_a_19_anos","idade_mae_20_a_24_anos","idade_mae_25_a_29_anos","idade_mae_30_a_34_anos","idade_mae_35_a_39_anos","idade_mae_40_a_44_anos","idade_mae_45_a_49_anos","idade_mae_50_a_54_anos","idade_mae_55_a_59_anos","idade_mae_60_a_64_anos","idade_mae_65_a_69_anos","idade_mae_ignorada","mae_sem_escolaridade","tempo_de_estudo_mae_1_a_3_anos","tempo_de_estudo_mae_4_a_7_anos","tempo_de_estudo_mae_8_a_11_anos","tempo_de_estudo_mae_mais_de_12_anos","tempo_de_estudo_mae_ignorado","estado_civil_mae_solteira","estado_civil_mae_casada","estado_civil_mae_viuva","estado_civil_mae_separada_judicialmente","estado_civil_mae_uniao_consensual","estado_civil_mae_ignorado"
"2016","110001",ALTA FLORESTA D'OESTE,32,1,0,44,14,11,102,0,0,0,0,2,0,3,93,2,2,0,0,1,2,14,81,4,0,0,97,5,47,55,0,44,58,0,0,1,20,29,35,10,6,1,0,0,0,0,0,0,0,16,30,39,15,2,22,32,1,1,39,7
"2016","110002",ARIQUEMES,786,28,5,1173,2,0,1971,22,0,1,0,0,1,13,1978,1,1,1,1,1,79,417,1403,92,0,7,1983,4,1046,948,0,553,1440,1,0,18,395,560,527,336,132,26,0,0,0,0,0,0,2,143,526,1024,282,17,280,668,2,16,1018,10
"2016","110003",CABIXI,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"2016","110004",CACOAL,517,86,3,1024,74,2,1674,32,0,0,1,6,8,163,1436,59,33,0,5,3,88,363,1182,65,0,9,1697,0,836,870,0,375,1331,0,0,17,266,442,501,328,132,18,2,0,0,0,0,0,8,15,194,967,520,2,214,809,2,21,660,0
"2016","110005",CEREJEIRAS,37,0,0,44,0,4,84,0,0,1,0,0,1,4,76,3,1,0,0,0,2,14,60,9,0,1,84,0,46,39,0,13,71,1,0,0,13,25,23,18,5,1,0,0,0,0,0,0,0,3,24,40,17,1,24,34,1,3,20,3
"2016","110006",COLORADO DO OESTE,0,1,0,4,0,0,5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,3,0,0,0,5,0,3,2,0,5,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,3,0,0,1,0
"2016","110008",COSTA MARQUES,1,0,0,13,0,0,14,0,0,0,0,0,0,3,9,2,0,0,0,0,1,2,11,0,0,0,14,0,10,4,0,14,0,0,0,0,1,5,4,2,1,1,0,0,0,0,0,0,0,1,6,3,3,1,4,1,0,0,9,0
"2016","110009",ESPIGAO D'OESTE,142,16,1,285,5,2,449,2,0,0,1,0,2,26,367,13,42,0,0,0,19,92,306,34,0,0,450,1,244,207,0,74,377,0,0,3,95,127,111,76,32,7,0,0,0,0,0,0,3,7,163,205,67,6,52,184,2,10,197,6
"2016","110010",GUAJARA-MIRIM,56,13,1,763,191,13,1029,6,0,2,0,4,15,116,815,57,30,1,3,3,46,205,710,69,0,3,1030,4,520,517,0,630,405,2,0,16,237,297,245,148,77,16,1,0,0,0,0,0,5,51,256,592,122,11,744,163,2,5,99,24
"2016","110011",JARU,166,25,3,575,3,4,768,8,0,0,0,1,2,1,749,23,0,0,1,2,29,141,556,47,0,7,767,2,388,388,0,208,566,2,0,7,141,260,207,108,47,6,0,0,0,0,0,0,2,7,150,539,73,5,230,352,4,21,168,1
